antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
"frozenset({'instant food products', 'yogurt'})",frozenset({'root vegetables'}),0.00436233,0.230690275,0.002566076,0.588235294,2.549892037,0.001559729,1.868323619
"frozenset({'instant food products', 'soda'})",frozenset({'whole milk'}),0.007954837,0.45804465,0.004105722,0.516129032,1.126809433,0.000462052,1.120041057
"frozenset({'instant food products', 'whole milk'})",frozenset({'soda'}),0.007954837,0.313317937,0.004105722,0.516129032,1.64730126,0.001613329,1.41914293
"frozenset({'instant food products', 'yogurt'})",frozenset({'soda'}),0.00436233,0.313317937,0.002566076,0.588235294,1.877438936,0.00119928,1.667656439
"frozenset({'uht-milk', 'beef'})",frozenset({'whole milk'}),0.010520914,0.45804465,0.006928406,0.658536585,1.437712646,0.002109358,1.587154954
"frozenset({'uht-milk', 'berries'})",frozenset({'other vegetables'}),0.007441622,0.376700026,0.004105722,0.551724138,1.464624636,0.001302463,1.390438404
"frozenset({'uht-milk', 'berries'})",frozenset({'whole milk'}),0.007441622,0.45804465,0.003849115,0.517241379,1.129237902,0.00044052,1.122621797
"frozenset({'uht-milk', 'beverages'})",frozenset({'other vegetables'}),0.006158584,0.376700026,0.003335899,0.541666667,1.437925749,0.001015961,1.359927217
"frozenset({'uht-milk', 'beverages'})",frozenset({'whole milk'}),0.006158584,0.45804465,0.004105722,0.666666667,1.455462185,0.001284816,1.625866051
"frozenset({'uht-milk', 'bottled beer'})",frozenset({'other vegetables'}),0.014883244,0.376700026,0.008211445,0.551724138,1.464624636,0.002604926,1.390438404
"frozenset({'uht-milk', 'bottled beer'})",frozenset({'whole milk'}),0.014883244,0.45804465,0.008211445,0.551724138,1.204520429,0.001394255,1.20897732
"frozenset({'uht-milk', 'bottled water'})",frozenset({'other vegetables'}),0.021298435,0.376700026,0.011290736,0.530120482,1.407274876,0.003267616,1.326510202
"frozenset({'uht-milk', 'bottled water'})",frozenset({'whole milk'}),0.021298435,0.45804465,0.012573775,0.590361446,1.28887314,0.002818141,1.323008649
"frozenset({'uht-milk', 'brown bread'})",frozenset({'other vegetables'}),0.012317167,0.376700026,0.007185014,0.583333333,1.548535422,0.002545137,1.495919938
"frozenset({'uht-milk', 'brown bread'})",frozenset({'whole milk'}),0.012317167,0.45804465,0.007185014,0.583333333,1.273529412,0.001543202,1.300692841
"frozenset({'uht-milk', 'butter'})",frozenset({'other vegetables'}),0.010520914,0.376700026,0.005645368,0.536585366,1.424436765,0.00168214,1.345015734
"frozenset({'uht-milk', 'butter'})",frozenset({'whole milk'}),0.010520914,0.45804465,0.005645368,0.536585366,1.171469563,0.00082632,1.169482598
"frozenset({'uht-milk', 'butter milk'})",frozenset({'whole milk'}),0.006671799,0.45804465,0.003592507,0.538461538,1.175565611,0.000536525,1.174236592
"frozenset({'uht-milk', 'candy'})",frozenset({'other vegetables'}),0.007441622,0.376700026,0.004105722,0.551724138,1.464624636,0.001302463,1.390438404
"frozenset({'uht-milk', 'candy'})",frozenset({'rolls/buns'}),0.007441622,0.349756223,0.003849115,0.517241379,1.47886255,0.001246361,1.346933539
"frozenset({'uht-milk', 'canned beer'})",frozenset({'other vegetables'}),0.014883244,0.376700026,0.007698229,0.517241379,1.373085596,0.002091711,1.291121375
"frozenset({'uht-milk', 'cat food'})",frozenset({'other vegetables'}),0.003849115,0.376700026,0.002822684,0.733333333,1.946730245,0.001372723,2.337374904
"frozenset({'uht-milk', 'cat food'})",frozenset({'rolls/buns'}),0.003849115,0.349756223,0.002566076,0.666666667,1.906089508,0.001219825,1.950731332
"frozenset({'uht-milk', 'cat food'})",frozenset({'whole milk'}),0.003849115,0.45804465,0.003079292,0.8,1.746554622,0.001316225,2.709776751
"frozenset({'uht-milk', 'chicken'})",frozenset({'whole milk'}),0.010520914,0.45804465,0.006158584,0.585365854,1.277966796,0.001339535,1.307068786
"frozenset({'uht-milk', 'chocolate'})",frozenset({'rolls/buns'}),0.008981268,0.349756223,0.004875545,0.542857143,1.552101457,0.001734291,1.422408263
"frozenset({'uht-milk', 'chocolate'})",frozenset({'whole milk'}),0.008981268,0.45804465,0.005132153,0.571428571,1.247539016,0.001018331,1.264562484
"frozenset({'uht-milk', 'citrus fruit'})",frozenset({'other vegetables'}),0.01308699,0.376700026,0.007185014,0.549019608,1.457445103,0.002255145,1.382099943
"frozenset({'uht-milk', 'citrus fruit'})",frozenset({'whole milk'}),0.01308699,0.45804465,0.006671799,0.509803922,1.113000494,0.000677373,1.105588915
